Nome: BELO HORIZONTE (PAMPULHA),,
Codigo Estacao: A521,,
Latitude: -19.88388888,,
Longitude: -43.96944443,,
Altitude: 854.02,,
Situacao: Operante,,
Data Inicial: 2018-01-01,,
Data Final: 2022-12-31,,
Periodicidade da Medicao: Mensal,,
,,
Data Medicao,PRECIPITACAO TOTAL, MENSAL (AUT)(mm)
2018-01-31,183,8
2018-02-28,284,2
2018-03-31,368,
2018-04-30,13,2
2018-05-31,11,4
2018-06-30,0,
2018-07-31,,4
2018-08-31,41,
2018-09-30,51,
2018-10-31,176,
2018-11-30,265,
2018-12-31,281,2
2019-01-31,83,
2019-02-28,203,2
2019-03-31,138,2
2019-04-30,114,6
2019-05-31,47,
2019-06-30,4,8
2019-07-31,0,
2019-08-31,0,
2019-09-30,19,4
2019-10-31,56,2
2019-11-30,202,
2019-12-31,213,4
2020-01-31,739,8
2020-02-29,344,6
2020-03-31,318,
2020-04-30,101,
2020-05-31,27,8
2020-06-30,4,4
2020-07-31,2,4
2020-08-31,13,8
2020-09-30,null,
2020-10-31,114,
2020-11-30,150,2
2020-12-31,232,4
2021-01-31,233,6
2021-02-28,407,6
2021-03-31,105,8
2021-04-30,7,6
2021-05-31,5,2
2021-06-30,17,
2021-07-31,0,
2021-08-31,13,4
2021-09-30,7,4
2021-10-31,241,6
2021-11-30,245,4
2021-12-31,391,4
2022-01-31,430,
2022-02-28,326,8
2022-03-31,4,8
2022-04-30,28,2
2022-05-31,65,4
2022-06-30,0,
2022-07-31,0,
2022-08-31,0,
2022-09-30,53,
2022-10-31,114,8
2022-11-30,264,2
2022-12-31,321,6
,,
1673,,
1079,,
2044,,
1671,,
1605,,
