NOME,LATITUDE,LONGITUDE,2018,2019,2020,2021,2022
ARAXÁ,"-19,60583333","-46,94972221",1663,1279,1592,860,434
BELO HORIZONTE (PAMPULHA),"-19,88388888","-43,96944443",1673,1079,2044,1671,1605
CAMPINA VERDE,"-19,53921","-49,518133",1503,1225,1390,711,1320
CURVELO,"-18,747711","-44,453785",1386,670,1238,667,1120
ITUIUTABA,"-18,95277777","-49,52499999",858,1359,245,602,626
PATOS DE MINAS,"-18,52055554","-46,44055555",1320,1252,1142,885,1879
PATROCINIO,"-18,996684","-46,985935",1619,1495,1868,822,1677
SACRAMENTO,"-19,87527777","-47,43416666",1451,1295,350,645,1417
UBERABA,"-19,71","-47,96194444",1879,1607,1019,565,1274
UBERLANDIA,"-18,91694443","-48,25555555",1612,1255,1654,1062,1413
