Nome: UBERABA,,
Codigo Estacao: A568,,
Latitude: -19.71,,
Longitude: -47.96194444,,
Altitude: 778,,
Situacao: Operante,,
Data Inicial: 2018-01-01,,
Data Final: 2022-12-31,,
Periodicidade da Medicao: Mensal,,
,,
Data Medicao,PRECIPITACAO TOTAL, MENSAL (AUT)(mm)
2018-01-31,419,6
2018-02-28,267,6
2018-03-31,54,2
2018-04-30,121,2
2018-05-31,60,8
2018-06-30,0,
2018-07-31,,2
2018-08-31,34,6
2018-09-30,63,4
2018-10-31,284,6
2018-11-30,363,2
2018-12-31,214,8
2019-01-31,66,6
2019-02-28,401,4
2019-03-31,252,4
2019-04-30,195,8
2019-05-31,29,2
2019-06-30,0,
2019-07-31,1,6
2019-08-31,40,2
2019-09-30,57,2
2019-10-31,140,2
2019-11-30,167,8
2019-12-31,259,2
2020-01-31,510,4
2020-02-29,330,
2020-03-31,108,
2020-04-30,53,2
2020-05-31,10,
2020-06-30,0,
2020-07-31,0,
2020-08-31,0,
2020-09-30,0,
2020-10-31,8,4
2020-11-30,null,
2020-12-31,null,
2021-01-31,null,
2021-02-28,264,
2021-03-31,137,
2021-04-30,26,8
2021-05-31,null,
2021-06-30,null,
2021-07-31,null,
2021-08-31,null,
2021-09-30,null,
2021-10-31,null,
2021-11-30,null,
2021-12-31,138,6
2022-01-31,338,8
2022-02-28,156,4
2022-03-31,156,2
2022-04-30,40,4
2022-05-31,57,6
2022-06-30,10,2
2022-07-31,0,
2022-08-31,11,6
2022-09-30,76,
2022-10-31,135,2
2022-11-30,null,
2022-12-31,295,6
,,
1879,,
1607,,
1019,,
565,,
1274,,
